word,gender,religion,race,age,economic
loss,-0.0194,-0.057,-0.0314,-0.0234,0.0915
economic,-0.0079,-0.0205,0.0004,0.0662,0.0865
coach,-0.1079,-0.0603,0.0217,-0.0411,-0.0216
near,0.0039,0.0076,0.0387,0.0096,-0.009
getting,-0.0462,-0.0289,-0.0069,-0.0543,0.0086
price,0.001,0.0413,0.0572,0.0364,-0.0152
event,0.0235,-0.0292,-0.0474,-0.0241,-0.0515
fourth,-0.0481,0.0011,-0.0258,-0.0831,0.01
change,0.0003,-0.0817,-0.0082,0.0125,0.0593
small,0.042,-0.0091,-0.0011,0.0556,-0.0288
board,-0.0105,-0.0249,0.0426,0.0436,-0.0166
goal,-0.0189,-0.0811,0.0079,-0.0465,0.0223
taken,-0.0242,0.028,0.0374,0.0063,0.0074
field,-0.1149,0.0054,0.0071,-0.067,-0.0023
prices,0.0265,0.0491,0.0547,0.0493,0.0233
weeks,-0.0121,0.008,0.0199,-0.0171,-0.0019
men,-0.1393,0.0365,0.0438,0.0062,0.0234
asked,-0.0467,0.0708,0.0272,0.0151,0.0579
eight,-0.0279,-0.0047,0.0153,-0.0653,-0.026
data,0.0649,0.0195,0.0345,0.0204,0.0142
shot,-0.0969,0.02,0.0047,-0.1,-0.007
started,-0.0419,-0.0432,0.0176,-0.0514,0.0468
director,0.0063,-0.0307,-0.0106,0.0428,0.0215
party,-0.0032,-0.0695,0.0176,-0.0451,-0.0216
federal,0.0458,0.0481,0.0032,0.0015,0.0576
done,-0.039,-0.0354,0.0169,-0.0483,0.018
political,0.0179,0.028,-0.011,0.0327,0.0464
minutes,-0.0152,0.034,0.0639,-0.0769,-0.0552
taking,-0.0477,0.0219,-0.006,-0.0134,-0.0243
technology,0.0363,0.0166,-0.0126,0.0362,-0.0294
project,0.0307,-0.0436,0.0027,-0.0155,0.0172
center,-0.0537,-0.013,-0.0095,-0.0604,-0.0243
leading,-0.0544,-0.0335,-0.0022,-0.0302,-0.1043
issue,0.0087,0.0049,0.0278,0.0062,0.0569
though,-0.0363,-0.0499,0.0125,-0.0352,0.026
having,-0.0501,-0.0322,0.09,-0.0192,-0.016
period,-0.0465,0.014,0.0339,0.0249,0.0305
likely,-0.0878,-0.0005,0.0727,0.0066,-0.0378
scored,-0.0337,-0.0354,0.0125,-0.1588,-0.009
strong,-0.0125,-0.0699,0.0578,-0.0648,-0.1255
series,0.0089,-0.0386,-0.0286,-0.0167,-0.0559
military,-0.039,0.1481,0.0131,-0.0017,-0.0048
seen,-0.005,-0.0134,0.0342,0.0175,0.0024
trying,-0.0447,0.0014,-0.0106,-0.019,0.054
coming,-0.0503,-0.0888,0.0062,-0.0428,-0.0389
process,0.0178,-0.0353,0.0133,0.0198,0.009
building,0.0068,0.006,0.0108,0.0567,-0.0588
behind,-0.0597,-0.0346,0.0519,-0.0406,-0.0179
performance,-0.01,-0.0606,-0.0079,-0.0206,-0.0088
management,-0.0129,-0.0394,0.0374,0.0203,-0.0164
saying,-0.0483,0.0754,0.035,0.0214,0.0498
earlier,-0.0717,0.0015,0.0444,-0.0304,0.0111
believe,-0.028,-0.062,0.0241,0.005,0.0265
oil,0.0215,0.0834,0.0035,0.0082,-0.0292
