word,gender,religion,race,age,economic
results,0.025616933,0.021147888,0.135836643,0.965713628,0.237961817
level,-0.685299651,-0.441317244,-0.019786182,0.319680147,0.472502769
loss,-0.46371943,-0.678778482,0.43430818,-0.277162746,0.786472926
economic,-0.301162322,-0.269617096,-0.011289293,-0.738017112,0.533915423
coach,-0.970102123,-0.706619927,0.290608577,-0.220000613,-0.181140283
near,-0.183048912,0.138592436,-0.089875539,-0.216749977,-0.262855367
getting,-0.869591508,-0.380072806,0.944197055,-0.368333896,0.532547078
price,-0.090096748,0.634043181,-0.743497686,-0.031893036,0.470743468
event,0.347361654,-0.383578266,0.499057247,0.405568659,-0.604733054
fourth,-0.798609245,0.020951163,-0.442277007,0.54944486,-0.353218373
change,-0.507457673,-0.84734394,-0.032192437,0.158143013,0.711507135
small,0.30300183,-0.117163274,0.594656397,-0.717715968,0.377761126
board,-0.321049449,-0.327996495,0.373410358,0.178105045,0.082198475
goal,-0.736831497,-0.844546313,0.074417299,0.274463556,0.508894246
taken,-0.766930933,0.470122461,-0.000598372,0.05114192,0.294683
field,-0.986294007,0.101018049,-0.426998564,0.131737905,0.288818662
prices,0.31823352,0.711749373,-0.556406574,0.280388886,0.539160748
weeks,-0.172601451,0.144444991,0.731014563,-0.064215401,0.393040985
men,-0.92280301,0.579845571,-0.235718845,-0.945751173,0.100931778
asked,-0.73169175,0.861751832,-0.44451093,-0.874574504,0.641004757
eight,-0.657484547,-0.059525415,-0.154140737,-0.396914962,0.04655633
data,0.801345136,0.342005607,-0.03414712,0.720704136,0.296344562
shot,-0.965634238,0.350366399,-0.797032073,-0.806035144,-0.022836725
started,-0.795417898,-0.543447486,0.303446063,-0.259345579,0.497686844
director,0.507492211,-0.401678576,0.121234003,0.656215843,0.060304946
party,-0.106926901,-0.776392072,0.379508164,-0.02677175,-0.780694941
federal,0.279610306,0.70122461,0.625947767,-0.55825079,0.432625269
done,-0.892098898,-0.457597411,0.276166406,-0.234751142,0.847429465
political,0.356411651,0.47007328,-0.176519866,-0.614308933,-0.108849878
minutes,-0.527647138,0.549009,0.591687728,0.007823736,0.348439434
taking,-0.852089492,0.379137363,0.61916797,-0.087123187,0.282367889
technology,0.267494189,0.291742488,-0.185774693,0.970028188,0.192610934
project,0.579447109,-0.548267494,-0.806685815,-0.027998405,0.309441585
center,-0.809627788,-0.170149656,0.261644,0.426336075,0.067993745
leading,-0.729776942,-0.435452339,-0.312111058,0.437726514,-0.97814717
issue,0.089461451,0.091575272,0.272475629,-0.162777147,0.836971395
though,-0.856221446,-0.612073615,0.772295102,-0.541200282,0.817000065
having,-0.867072024,-0.420520426,0.682111766,-0.745101046,0.318010035
period,-0.686240258,0.249889342,0.286757331,0.285163666,0.244836124
likely,-0.9023448,-0.005595254,0.028643639,-0.118740225,-0.561079178
scored,-0.660004031,-0.456990697,-0.811552577,0.404072945,-0.10481073
strong,-0.435064499,-0.77908858,-0.701731291,-0.389156368,-0.395474082
series,-0.400295619,-0.495112579,0.056244233,-0.351375387,-0.231163586
military,-0.591574845,0.985540747,-0.764560396,-0.084363213,0.244803545
seen,-0.404360387,-0.174935958,0.313996871,-0.358029992,-0.163585521
trying,-0.847923945,0.02645945,0.430256349,-0.789015303,0.753111357
coming,-0.874798441,-0.880443576,0.545793718,-0.18283296,-0.179690332
process,0.027842342,-0.455743562,-0.529200574,0.666915952,0.561021698
building,-0.227593389,0.111051001,0.08043487,0.382039924,-0.19890218
behind,-0.925859984,-0.448125927,0.169535042,-0.767763501,0.203948654
performance,-0.538195378,-0.709383848,-0.029200574,0.776850946,0.350133577
management,-0.233237033,-0.502999865,0.007662374,0.187827187,-0.58034281
saying,-0.826558721,0.883440712,0.532875998,-0.756723604,0.947774809
earlier,-0.828137597,0.029016869,0,-0.77217946,0.207304359
believe,-0.654629132,-0.720608063,-0.150390937,-0.588334509,0.588258292
oil,0.34172395,0.910342793,-0.498683581,-0.463645006,-0.365491171
given,-0.653352593,0.05941081,-0.746489548,0.116263016,0.629927673
customers,0.586321151,0.73156937,0.290648694,0.912213082,0.348015899
due,-0.134574039,0.696109772,0.187627873,-0.013431875,0.637779371
following,-0.72524187,-0.243528381,0.805672564,-0.158299856,0.036261159
